(venv) alex@alex-desktop:~/Frontier-Dental-POC$ python main.py run --reset --limit 100
2026-03-17T19:41:19.400413Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/safco-nitrilex-reg-ultrasoft-nitrile-gloves variant_count=5
2026-03-17T19:41:19.415601Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/evolve-trade-300
2026-03-17T19:41:19.434476Z [info     ] product_extracted              url=https://www.safcodental.com/product/safco-nitrilex-reg-ultrasoft-nitrile-gloves variants=5
2026-03-17T19:41:19.573258Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/beesure-reg-superslim-trade-nitrile variant_count=4
2026-03-17T19:41:19.637598Z [debug    ] browser_rendered               size=876571 url=https://www.safcodental.com/product/beesure-reg-superslim-trade-nitrile
2026-03-17T19:41:19.679460Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/beesure-reg-superslim-trade-nitrile variant_count=4
2026-03-17T19:41:19.696534Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/aquasoft
2026-03-17T19:41:19.708972Z [info     ] product_extracted              url=https://www.safcodental.com/product/beesure-reg-superslim-trade-nitrile variants=4
2026-03-17T19:41:21.957214Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/pulse-nitrile variant_count=5
2026-03-17T19:41:22.023233Z [debug    ] browser_rendered               size=816816 url=https://www.safcodental.com/product/pulse-nitrile
2026-03-17T19:41:22.068768Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/pulse-nitrile variant_count=5
2026-03-17T19:41:22.086810Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/aurelia-reg-blush-reg
2026-03-17T19:41:22.112356Z [info     ] product_extracted              url=https://www.safcodental.com/product/pulse-nitrile variants=5
2026-03-17T19:41:22.598548Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/evolve-trade-300 variant_count=5
2026-03-17T19:41:22.656157Z [debug    ] browser_rendered               size=857346 url=https://www.safcodental.com/product/evolve-trade-300
2026-03-17T19:41:22.693682Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/evolve-trade-300 variant_count=5
2026-03-17T19:41:22.709358Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/aurelia-sup-reg-sup-sonic-sup-reg-sup
2026-03-17T19:41:22.725833Z [info     ] product_extracted              url=https://www.safcodental.com/product/evolve-trade-300 variants=5
2026-03-17T19:41:23.112089Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/aquasoft variant_count=5
2026-03-17T19:41:23.174255Z [debug    ] browser_rendered               size=927401 url=https://www.safcodental.com/product/aquasoft
